hillnumber, hillname, region, parent, classification, metres, feet, gridref, gridref10, colgridref, colheight, drop, feature, observations, survey, revision, comments, map50, map25, xcoord, ycoord, latitude, longitude, country, climbed, tumponly,Ma,MaE,Hu,HuE,Tu,Sim,V5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,V4,V3,V2,V1,V0,W,WO,B,Sy,Fel,CoH,CoA,CoU,CoL,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,DN,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,O,Un,P600,P500
1,"Ben Chonzie","01A",,"Ma,M,Sim","931","3054","NN773308","NN 77326 30850","NN 5609 2772","283.4","648","cairn/shelter","","Abney level","2021-07-11","col height measured with Leica RX1250","51 52","OL47W 368W 379W","277324","730857","56.453851","-3.992057","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
17,"Ben Vorlich (Loch Earn)","01B",,"Ma,M,Sim","985.3","3233","NN629189","NN 62914 18909","NN 5753 2148","151","834.3","trig point","cairn 125m ESE at NN 63033 18865 is lower","Leica RX1250","2021-07-11","col measured to be 151.0m","57","OL46N OL47W 365N 368W","262911","718916","56.34268","-4.219464","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
18,"Stuc a' Chroin","01B",,"Ma,M,Sim","973","3192","NN617174","NN 61749 17458","NN 6214 1832","720.9","252.1","cairn on E side of summit","cairn on W side of summit at NN 61673 17437 is lower","Leica RX1250","2020-12-24","","57","OL46N OL47W 365N 368W","261746","717465","56.329315","-4.237533","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,"Ben More (Crianlarich)","01C",,"Ma,M,Sim,CoU, CoA","1174","3852","NN432244","NN 43279 24409","NN382244","188","986","trig point","","","2020-01-05","Added to Trail 100 list Jan 2020","51","OL46N 365N","243276","724417","56.385952","-4.540087","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
27,"Stob Binnein","01C",,"Ma,M,Sim","1165","3822","NN434227","NN 43484 22704","NN432235","862","303","cairn","","","2001-10-28","","51","OL46N 365N","243481","722712","56.370717","-4.535753","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,"Cruach Ardrain","01C",,"Ma,M,Sim","1045.9","3431","NN409212","NN 40930 21208","NN421226","497","549","cairn","","Leica RX1250","2015-09-03","hill 29 Cruach Ardrain SW Top (NN 40818 21104) is 104cm lower","51 56","OL39N 364N","240927","721216","56.356438","-4.576152","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
31,"An Caisteal","01C",,"Ma,M,Sim","995.9","3267","NN378193","NN 37876 19338","NN397197","522","474","cairn","","obvious summit/Leica RX1250","2020-02-25","","50 56","OL39N 364N","237873","719345","56.338618","-4.62437","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,"Ben Lomond","01C",,"Ma,M,Sim,CoH","973.7","3195","NN367028","NN 36711 02857","NN397098","154","820","rock outcrop c 4m SE of trig point","","obvious summit/Leica RX1250","2021-04-24","","56","OL39S 364S","236707","702864","56.190302","-4.63301","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
35,"Beinn Tulaichean","01C",30,"Hu,M,Sim","945.8","3103","NN416196","NN 41664 19598","NN 4120 2031","824","121.8","rock by cairn","","Leica RX1250","2015-09-03","col measured as 824.0m","56","OL46N 365N","241661","719605","56.342234","-4.563315","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,"Beinn Chabhair","01C",,"Ma,M,Sim","932.2","3058","NN367179","NN 36764 17950","NN373183","619","313","small cairn","","Leica RX1250","2020-02-25","","50 56","OL39N 364N","236761","717957","56.325779","-4.641476","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,"Ben Lui [Beinn Laoigh]","01D",,"Ma,M,Sim","1131.4","3712","NN266262","NN 26639 26288","NN320308","255","876","cairn","cairn 150m NW at NN 26549 26406 (hill 66) is lower","Abney level/Leica RX1250","2021-02-11","","50","OL39N 364N 377E","226635","726296","56.397004","-4.810509","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
67,"Ben Oss","01D",,"Ma,M,Sim","1029","3376","NN287253","NN 28765 25340","NN274245","687","342","cairn","","","2001-10-28","","50","OL39N 364N 377E","228761","725348","56.389272","-4.775488","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,"Beinn Ime","01D",,"Ma,M,Sim","1012.2","3321","NN254084","NN 25501 08481","NN271211","299","713","cairn on remains of old trig point","","obvious summit/Leica RX1250","2019-08-04","","56","OL39S 364S","225497","708488","56.236794","-4.817125","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
69,"Beinn Dubhchraig","01D",,"Ma,M,Sim","978","3209","NN307254","NN 30767 25485","NN297259","779","199","cairn","","obvious summit","2012-08-03","","50","OL39N 364N 377E","230763","725493","56.391295","-4.743193","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,"Beinn Bhuidhe","01D",,"Ma,M,Sim","948.5","3112","NN203187","NN 20373 18712","NN204209","356","592","trig point base by cairn","trig point damaged","Leica RX1250","2014-05-17","","50 56","OL39N 364N","220369","718720","56.326686","-4.906709","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
71,"Ben Vorlich (Loch Lomond)","01D",,"Ma,M,Sim,CoH","942.8","3093","NN295124","NN 29513 12467","NN285149","311","632","cairn on rocky outcrop","higher than trig point 150m SE at NN 29585 12300","Leica RX1250","2022-04-06","","50 56","OL39N OL39S 364N 364S","229509","712474","56.274021","-4.755046","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
74,"Beinn Narnain","01D",,"Ma,M,Sim","926.8","3041","NN271066","NN 27172 06648","NN261071","637","290","rock outcrop by trig point","","obvious summit/Leica RX1250","2023-02-05","","56","OL39S 364S","227168","706655","56.220956","-4.789003","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,"Beinn a' Chleibh","01D",65,"Hu,M,Sim,sMa","916.3","3006","NN250256","NN 25058 25598","NN 2567 2589","776.5","139.9","rock by middle one of three cairns","ground by cairn 155m NW at NN 24921 25679 is 2.8m lower; small cairn 70m E at NN 25123 25583 is also lower","Leica NA730/Leica 530/Leica RX1250","2021-02-11","","50","OL39N 364N 377E","225054","725606","56.39023","-4.83563","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,"Ben Vane","01D",,"Ma,M,Sim","915.76","3004","NN277098","NN 27757 09837","NN263096","492","424","rock outcrop near small cairn","summit outcrop is 7m to NW of cairn. note cairn at top of gully 35m E at NN 27790 09830 is 0.52m lower","Leica NA730/Leica 530","2013-12-03","","56","OL39S 364S","227753","709844","56.249786","-4.781655","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,"Schiehallion","02A",,"Ma,M,Sim","1083.3","3554","NN713547","NN 71386 54761","NN368396","367","716","rock 20m NW of cairn","this rock is 15cm higher than a rock under the cairn (NN 71397 54747)","Abney level/Leica RX1250","2023-02-05","","42 51 52","OL49W 386W","271384","754769","56.666942","-4.10023","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
104,"Beinn a' Chreachain","02A",,"Ma,M,Sim","1080.6","3545","NN373440","NN 37392 44067","NN392450","431","650","large cairn","","Leica RX1250","2015-02-08","","50","OL48W 377E 378W","237389","744075","56.560387","-4.647589","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
